"","student_IDs","Preference_1","Preference_2","Preference_3","reported_date","sex","height_text","cleaned_heigths_data"
"1","catastrophal_kodiakbear","Chocolate","Strawberry","Rocky Road",2014-09-04 07:05:00,"Male","72",72
"2","semiemotional_leech","Chocolate","Pistachio","Strawberry",2015-11-21 13:36:00,"Female","160",160
"3","abstracted_tarantula","Vanilla","Strawberry","Pistachio",2015-11-26 02:37:00,"Male","69",69
"4","starry_indianglassfish","Chocolate","Mocha","Rocky Road",2014-12-16 14:43:00,"Male","78",78
"5","domesticated_islandwhistler","Chocolate","Mocha","Strawberry",2015-08-05 22:13:00,"Female","59",59
"6","patient_tigermoth","Chocolate","Strawberry","Pistachio",2016-01-26 17:38:00,"Male","73",73
"7","aichmophobic_tahr","Vanilla","Strawberry","Mocha",2015-05-10 10:47:00,"Male","78",78
"8","especial_gull","Vanilla","Fudge","Pistachio",2015-02-01 00:15:00,"Male","5.5",66
"9","nonsecular_skink","Vanilla","Strawberry","Fudge",2015-04-03 07:39:00,"Male","111",111
"10","blondish_moose","Chocolate","Rocky Road","Mocha",2016-05-06 16:24:00,"Male","164",164
"11","gratuitous_buckeyebutterfly","Chocolate","Rocky Road","Strawberry",2015-04-03 18:14:00,"Male","67",67
"12","lipophobic_unicorn","Chocolate","Mocha","Rocky Road",2015-03-24 10:30:00,"Male","5'7.5''",67
"13","unamorous_cusimanse","Chocolate","Fudge","Mocha",2016-01-25 08:15:00,"Male","69",69
"14","gracious_gordonsetter","Vanilla","Pistachio","Fudge",2014-09-02 15:16:00,"Male","68",68
"15","teensy_xenopus","Chocolate","Strawberry","Pistachio",2014-10-10 20:49:00,"Male","5.8",69.6
"16","philharmonic_pug","Vanilla","Fudge","Pistachio",2016-01-18 16:27:00,"Female","64",64
"17","doctorial_gharial","Chocolate","Pistachio","Strawberry",2015-08-29 17:11:00,"Male","69",69
"18","dutybound_mamba","Chocolate","Fudge","Strawberry",2015-01-03 08:44:00,"Male","184",184
"19","experimental_dikdik","Vanilla","Strawberry","Rocky Road",2016-01-25 08:15:00,"Female","68",68
"20","deliberate_maiasaura","Vanilla","Mocha","Pistachio",2017-07-14 09:30:00,"Male","65",65
"21","dragonlike_cuscus","Chocolate","Rocky Road","Mocha",2014-12-06 16:42:00,"Male","79.05",79.05
