student_IDs,preference
catastrophal_kodiakbear,"Chocolate, Strawberry, Rocky Road"
semiemotional_leech,"Chocolate, Pistachio, Strawberry"
abstracted_tarantula,"Vanilla, Strawberry, Pistachio"
starry_indianglassfish,"Chocolate, Mocha, Rocky Road"
domesticated_islandwhistler,"Chocolate, Mocha, Strawberry"
patient_tigermoth,"Chocolate, Strawberry, Pistachio"
aichmophobic_tahr,"Vanilla, Strawberry, Mocha"
especial_gull,"Vanilla, Fudge, Pistachio"
nonsecular_skink,"Vanilla, Strawberry, Fudge"
blondish_moose,"Chocolate, Rocky Road, Mocha"
gratuitous_buckeyebutterfly,"Chocolate, Rocky Road, Strawberry"
lipophobic_unicorn,"Chocolate, Mocha, Rocky Road"
unamorous_cusimanse,"Chocolate, Fudge, Mocha"
gracious_gordonsetter,"Vanilla, Pistachio, Fudge"
teensy_xenopus,"Chocolate, Strawberry, Pistachio"
philharmonic_pug,"Vanilla, Fudge, Pistachio"
doctorial_gharial,"Chocolate, Pistachio, Strawberry"
dutybound_mamba,"Chocolate, Fudge, Strawberry"
experimental_dikdik,"Vanilla, Strawberry, Rocky Road"
deliberate_maiasaura,"Vanilla, Mocha, Pistachio"
dragonlike_cuscus,"Chocolate, Rocky Road, Mocha"
deliberative_liger,"Chocolate, Mocha, Rocky Road"
anthropoid_raccoon,"Vanilla, Strawberry, Mocha"
vanillic_janenschia,"Vanilla, Pistachio, Rocky Road"
deformable_hummingbird,"Vanilla, Pistachio, Fudge"
proscholastic_nabarlek,"Vanilla, Fudge, Rocky Road"
priestless_asiandamselfly,"Chocolate, Strawberry, Rocky Road"
statuelike_solenodon,"Chocolate, Pistachio, Rocky Road"
consummate_albacoretuna,"Chocolate, Mocha, Pistachio"
supportive_atlanticbluetang,"Vanilla, Pistachio, Mocha"
corrupted_indusriverdolphin,"Chocolate, Strawberry, Pistachio"
elvish_nakedmolerat,"Chocolate, Fudge, Pistachio"
lamproite_mantid,"Vanilla, Mocha, Strawberry"
credible_taruca,"Vanilla, Fudge, Rocky Road"
crafty_cobra,"Chocolate, Fudge, Rocky Road"
hexahedral_eastsiberianlaika,"Vanilla, Strawberry, Pistachio"
sibling_galapagostortoise,"Vanilla, Pistachio, Mocha"
scribophobic_bumblebee,"Vanilla, Fudge, Pistachio"
unholy_stoat,"Vanilla, Mocha, Fudge"
crushable_milkweedbug,"Vanilla, Mocha, Fudge"
androphagous_erne,"Chocolate, Rocky Road, Fudge"
glaciologic_wryneck,"Chocolate, Fudge, Pistachio"
unfeared_purplemarten,"Vanilla, Pistachio, Rocky Road"
preartistic_yosemitetoad,"Chocolate, Fudge, Pistachio"
distrustful_myotis,"Chocolate, Mocha, Rocky Road"
pitchdark_buckeyebutterfly,"Vanilla, Mocha, Fudge"
generic_hamadryas,"Chocolate, Rocky Road, Pistachio"
unthinkable_rat,"Vanilla, Pistachio, Strawberry"
lignite_riograndeescuerzo,"Vanilla, Strawberry, Pistachio"
stricken_amoeba,"Vanilla, Fudge, Pistachio"
terrorful_sphinx,"Chocolate, Pistachio, Rocky Road"
streaky_uintagroundsquirrel,"Vanilla, Strawberry, Rocky Road"
planispherical_wasp,"Vanilla, Pistachio, Mocha"
shocked_indigowingedparrot,"Vanilla, Pistachio, Strawberry"
semiacidic_boaconstrictor,"Chocolate, Rocky Road, Mocha"
nonrationalistical_bantamrooster,"Chocolate, Strawberry, Pistachio"
picturesque_pupfish,"Vanilla, Strawberry, Rocky Road"
monarchical_newtnutria,"Chocolate, Rocky Road, Mocha"
determinative_quahog,"Vanilla, Rocky Road, Mocha"
misogynic_gelding,"Vanilla, Pistachio, Mocha"
polynuclear_bufeo,"Chocolate, Mocha, Strawberry"
droll_basilisk,"Vanilla, Rocky Road, Strawberry"
duskish_mastiff,"Chocolate, Mocha, Pistachio"
expensive_horseshoecrab,"Vanilla, Pistachio, Fudge"
pintsize_octopus,"Chocolate, Pistachio, Fudge"
unodoriferous_arrowana,"Chocolate, Rocky Road, Strawberry"
nonsecular_sturgeon,"Vanilla, Strawberry, Pistachio"
palaeobotanic_dotterel,"Vanilla, Mocha, Strawberry"
dandriffy_cleanerwrasse,"Vanilla, Strawberry, Pistachio"
increased_eyra,"Chocolate, Rocky Road, Strawberry"
wellknown_germanspitz,"Vanilla, Mocha, Rocky Road"
reanalyzable_waterbug,"Vanilla, Rocky Road, Strawberry"
presentient_jenny,"Chocolate, Mocha, Pistachio"
apiologic_pygmy,"Chocolate, Fudge, Rocky Road"
fierce_chanticleer,"Vanilla, Fudge, Mocha"
palish_hogget,"Vanilla, Strawberry, Fudge"
beamish_vulpesvulpes,"Chocolate, Mocha, Rocky Road"
undrinkable_harvestmouse,"Vanilla, Strawberry, Rocky Road"
spheral_scoter,"Chocolate, Fudge, Rocky Road"
lowly_flounder,"Chocolate, Mocha, Strawberry"
costly_xenopterygii,"Chocolate, Mocha, Pistachio"
untheologic_verdin,"Chocolate, Fudge, Pistachio"
forgeable_hydra,"Vanilla, Strawberry, Pistachio"
acidy_stagbeetle,"Vanilla, Rocky Road, Strawberry"
thermodynamic_metalmarkbutterfly,"Vanilla, Fudge, Mocha"
leachy_centipede,"Vanilla, Pistachio, Fudge"
carnivoral_xantusmurrelet,"Vanilla, Pistachio, Strawberry"
vinicultural_fieldspaniel,"Vanilla, Strawberry, Pistachio"
corrupting_marten,"Chocolate, Strawberry, Rocky Road"
curium_inexpectatumpleco,"Chocolate, Strawberry, Mocha"
grownup_gibbon,"Chocolate, Rocky Road, Fudge"
diffractive_woodnymphbutterfly,"Chocolate, Pistachio, Rocky Road"
tainted_irishwaterspaniel,"Chocolate, Rocky Road, Strawberry"
autonomous_tayra,"Vanilla, Strawberry, Rocky Road"
uncalorific_sugarglider,"Vanilla, Rocky Road, Fudge"
homicidal_macaque,"Vanilla, Strawberry, Pistachio"
nonartistic_portuguesemanofwar,"Chocolate, Pistachio, Strawberry"
ranidaphobic_bellsnake,"Chocolate, Fudge, Mocha"
circumstantial_trumpeterbird,"Chocolate, Strawberry, Rocky Road"
honeysweet_hartebeest,"Chocolate, Pistachio, Rocky Road"
complicated_italiangreyhound,"Chocolate, Pistachio, Mocha"
superstylish_equestrian,"Chocolate, Fudge, Mocha"
ionic_cardinal,"Vanilla, Rocky Road, Mocha"
supernaturalistic_albatross,"Vanilla, Strawberry, Pistachio"
